形式	資料	識別子	資料名	URL	チェック
HTML	アイヌ語アーカイブ	C0125	神謡(ｱ)神の娘に恋をした（エイノ）（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0125	未了
HTML	アイヌ語アーカイブ	C0126	民話(ｱ)殿様の無理難題と天の神（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0126	未了
HTML	アイヌ語アーカイブ	C0127	民話(ｱ)パナウンペのおなかの小鳥（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0127	未了
HTML	アイヌ語アーカイブ	C0128	民話(ｱ)子グマをわが子のように育てた女（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0128	未了
HTML	アイヌ語アーカイブ	C0129	言い伝え(ｱ)人の心を持たないしかばね（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0129	未了
HTML	アイヌ語アーカイブ	C0130	民話(ｱ)どこからかやってきたみすぼらしい女（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0130	未了
HTML	アイヌ語アーカイブ	C0131	民話(ｱ)殿様の無理難題と津波の神（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0131	未了
HTML	アイヌ語アーカイブ	C0132	ユーカラ(ｱ)シンヌタㇷ゚カの勇者と腹違いの兄弟（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0132	未了
HTML	アイヌ語アーカイブ	C0134	民話(ｱ)流れてきた鍋（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0134	未了
HTML	アイヌ語アーカイブ	C0137	民話(ｱ)水辺をきれいにして神に助けられた娘（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C013	未了
HTML	アイヌ語アーカイブ	C0138	民話(ｱ)流行病とナナカマドの祭壇（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0138	未了
HTML	アイヌ語アーカイブ	C0139	民話(ｱ)見なれない魚を食べてはならない（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0139	未了
HTML	アイヌ語アーカイブ	C0142	言い伝え(ｱ)夢に見た金掘りの話（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0142	未了
HTML	アイヌ語アーカイブ	C0143	民話(ｱ)天から降ろされた穀物（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0143	未了
HTML	アイヌ語アーカイブ	C0144	ユーカラ語り(ｱ)高貴な兄とよこしまな姉（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0144	未了
HTML	アイヌ語アーカイブ	C0145	ユーカラ語り(ｱ)カッコン鳥のかぶと（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0145	未了
